course,Principles and Techniques of Data Science,UCB DS100,伯克利 DS100 2018秋季学期的课程主页,,http://www.ds100.org/fa18/
course,Data Science in Practice,UCSD COGS108,UCSD COGS108 的课程主页,,https://github.com/COGS108/
course,Practical Data Science,CMU PDS,CMU 实用数据科学 2018春季学期的课程主页,,http://www.datasciencecourse.org/
course,The Foundations of Data Science,UCB DATA8,伯克利 Data8 的课程主页,,http://data8.org/
course,Data Science I,Harvard CS109,Harvard CS109 数据科学课程主页,,https://github.com/cs109/
course,Intro to Data Science,NYU DS-GA-1001,2018秋季学期,,https://github.com/briandalessandro/DataScienceCourse
textbook,Computational and Inferential Thinking,UCB DATA8,伯克利 Data8 的教科书\n第1章 介绍数据科学\n第2章 介绍因果性和随机试验\n第3到9章 Python入门\n第10到14章 概率统计（概率基础、假设检验、抽样、参数估计和统计量）\n第15到18章 预测分析（相关性、回归和分类）,,https://www.inferentialthinking.com/chapters/intro
textbook,Principles and Techniques of Data Science,UCB DS100,DS100的教科书\n第1章 介绍数据科学过程（以该课学生信息为例）\n第2到4章 设计数据\n第5到6章 数据探索性分析\n第7到9章 设计数据\n第10到11章 建模\n第12章 概率基础\n第13到17章 预测分析（回归、特征工程、模型优化、正则化和分类）\n第18章 统计推断,,https://www.textbook.ds100.org/
textbook,Data Science for Business,NYU DS-GA-1001,NYU DS-GA-1001教科书(请自行寻找资源),,http://data-science-for-biz.com/DSB/Home.html
lecture,intro.pdf,CMU PDS,need description,概念~过程~对比,http://www.datasciencecourse.org/notes/intro/intro.pdf
note,intro,CMU PDS,need description,概念~过程~对比,http://www.datasciencecourse.org/notes/intro
video,Lecture 1 Introduction,CMU PDS,need description,概念~过程~对比,https://scs.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=9fb318db-2179-4391-932c-a86b0147d2c3
lecture,data_collection.pdf,CMU PDS,need description,API~爬虫~数据格式~文本处理,http://www.datasciencecourse.org/notes/data_collection/data_collection.pdf
note,data_collection,CMU PDS,need description,API~爬虫~数据格式~文本处理,http://www.datasciencecourse.org/notes/data_collection
video,Lecture 2 Data collection and scraping,CMU PDS,need description,API~爬虫~数据格式~文本处理,https://scs.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=cf488bfb-1ee9-42dc-b52c-a87001492b89
lecture,jupyter.pdf,CMU PDS,need description,Anaconda~Jupyter,http://www.datasciencecourse.org/notes/jupyter/jupyter.pdf
note,jupyter.tar.gz,CMU PDS,need description,Anaconda~Jupyter,http://www.datasciencecourse.org/notes/jupyter/jupyter.tar.gz
video,Lecture 3 Jupyter notebook lab,CMU PDS,need description,Anaconda~Jupyter,https://scs.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=25f2f8cd-9e3f-43bd-993d-a8720148d766
lecture,relational_data.pdf,CMU PDS,need description,关系数据~实体关系,http://www.datasciencecourse.org/notes/relational_data/relational_data.pdf
note,relational_data,CMU PDS,need description,关系数据~实体关系,http://www.datasciencecourse.org/notes/relational_data
video,Lecture 4 Relational data,CMU PDS,need description,关系数据~实体关系,https://scs.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=4909e4db-e1ac-4556-a14a-a87701490267
lecture,visualization.pdf,CMU PDS,need description,数据可视化~常用图表~探索性分析,http://www.datasciencecourse.org/notes/visualization/visualization.pdf
note,visualization,CMU PDS,need description,数据可视化~常用图表~探索性分析,http://www.datasciencecourse.org/notes/visualization
video,Lecture 5 Visualization and data exploration,CMU PDS,need description,数据可视化~常用图表~探索性分析,https://scs.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=e99996af-3f74-44bb-ad84-a87901482fab
lecture,free_text.pdf,CMU PDS,need description,词袋模型~TFIDF~词嵌入~语言模型,http://www.datasciencecourse.org/notes/free_text/free_text.pdf
note,free_text,CMU PDS,need description,词袋模型~TFIDF~词嵌入~语言模型,http://www.datasciencecourse.org/notes/free_text
video,Lecture 8 Free text and NLP,CMU PDS,need description,词袋模型~TFIDF~词嵌入~语言模型,https://scs.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=9ff0beff-4a8e-4de7-8b90-a8850148a15a
lecture,ml_intro.pdf,CMU PDS,need description,一元线性回归~梯度下降,http://www.datasciencecourse.org/notes/ml_intro/ml_intro.pdf
note,ml_intro,CMU PDS,need description,一元线性回归~梯度下降,http://www.datasciencecourse.org/notes/ml_intro
video,Lecture 10 Introduction to machine learing,CMU PDS,need description,一元线性回归~梯度下降,https://scs.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=12615ab6-9b01-41a5-9a8d-a88c014940e3
lecture,linear_classification.pdf,CMU PDS,need description,SVM~逻辑回归~多分类,http://www.datasciencecourse.org/notes/linear_classification/linear_classification.pdf
note,linear_classification,CMU PDS,need description,SVM~逻辑回归~多分类,http://www.datasciencecourse.org/notes/linear_classification
video,Lecture 12 Linear classification,CMU PDS,need description,SVM~逻辑回归~多分类,https://scs.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=8c9db180-92b5-48f5-92d4-a8930148e58c
lecture,nonlinear_modeling.pdf,CMU PDS,need description,交叉验证~正则化~模型选择,http://www.datasciencecourse.org/notes/nonlinear_modeling/nonlinear_modeling.pdf
note,nonlinear_modeling,CMU PDS,need description,交叉验证~正则化~模型选择,http://www.datasciencecourse.org/notes/nonlinear_modeling
video,Lecture 13 Nonlinear modeling  cross-validation,CMU PDS,need description,交叉验证~正则化~模型选择,https://scs.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=6af0e6c2-4b6a-47e0-899c-a89501488441
